Stock Symbol,Stock Market,Stock Name,INDEX
NVDA,NYSE/NASDAQ,Nvidia,"['DOW JONES', 'S&P 500']"
NVR,NYSE/NASDAQ,"NVR, Inc.",['S&P 500']
NWS,NYSE/NASDAQ,News Corp (Class B),['S&P 500']
NWSA,NYSE/NASDAQ,News Corp (Class A),['S&P 500']
NXPI,NYSE/NASDAQ,NXP Semiconductors,['S&P 500']
NYKAA,NSE,FSN E-Commerce Ventures Ltd.,['NIFTY500']
O,NYSE/NASDAQ,Realty Income,['S&P 500']
OBEROIRLTY,NSE,Oberoi Realty Ltd.,['NIFTY500']
ODFL,NYSE/NASDAQ,Old Dominion,['S&P 500']
OFSS,NSE,Oracle Financial Services Software Ltd.,"['NIFTY500', 'NIFTY_IT']"
OIL,NSE,Oil India Ltd.,['NIFTY500']
OKE,NYSE/NASDAQ,Oneok,['S&P 500']
OLAELEC,NSE,Ola Electric Mobility Ltd.,['NIFTY500']
OLECTRA,NSE,Olectra Greentech Ltd.,['NIFTY500']
OMC,NYSE/NASDAQ,Omnicom Group,['S&P 500']
ON,NYSE/NASDAQ,ON Semiconductor,['S&P 500']
ONESOURCE,NSE,Onesource Specialty Pharma Ltd.,['NIFTY500']
ONGC,NSE,Oil & Natural Gas Corporation Ltd.,"['NIFTY50', 'NIFTY500']"
ORCL,NYSE/NASDAQ,Oracle Corporation,['S&P 500']
ORLY,NYSE/NASDAQ,O’Reilly Automotive,['S&P 500']
OTIS,NYSE/NASDAQ,Otis Worldwide,['S&P 500']
OXY,NYSE/NASDAQ,Occidental Petroleum,['S&P 500']
PAGEIND,NSE,Page Industries Ltd.,['NIFTY500']
PANW,NYSE/NASDAQ,Palo Alto Networks,['S&P 500']
PARADEEP,NSE,Paradeep Phosphates Ltd.,['NIFTY500']
PATANJALI,NSE,Patanjali Foods Ltd.,"['NIFTY500', 'NIFTY_FMCG']"
PAYTM,NSE,One 97 Communications Ltd.,['NIFTY500']
PAYX,NYSE/NASDAQ,Paychex,['S&P 500']
PCAR,NYSE/NASDAQ,Paccar,['S&P 500']
PCBL,NSE,PCBL Chemical Ltd.,"['NIFTY500', 'NIFTY_CHEMICALS']"
PCG,NYSE/NASDAQ,PG&E Corporation,['S&P 500']
PEG,NYSE/NASDAQ,Public Service Enterprise Group,['S&P 500']
PEP,NYSE/NASDAQ,PepsiCo,['S&P 500']
PERSISTENT,NSE,Persistent Systems Ltd.,"['NIFTY500', 'NIFTY_IT']"
PETRONET,NSE,Petronet LNG Ltd.,['NIFTY500']
PFC,NSE,Power Finance Corporation Ltd.,"['NIFTY500', 'NIFTY_FINANCIAL_SERVICES']"
PFE,NYSE/NASDAQ,Pfizer,['S&P 500']
PFG,NYSE/NASDAQ,Principal Financial Group,['S&P 500']
PFIZER,NSE,Pfizer Ltd.,['NIFTY500']
PG,NYSE/NASDAQ,Procter & Gamble,"['DOW JONES', 'S&P 500']"
PGEL,NSE,PG Electroplast Ltd.,['NIFTY500']
PGR,NYSE/NASDAQ,Progressive Corporation,['S&P 500']
PH,NYSE/NASDAQ,Parker Hannifin,['S&P 500']
PHM,NYSE/NASDAQ,PulteGroup,['S&P 500']
PHOENIXLTD,NSE,Phoenix Mills Ltd.,['NIFTY500']
PIDILITIND,NSE,Pidilite Industries Ltd.,"['NIFTY500', 'NIFTY_CHEMICALS']"
PIIND,NSE,PI Industries Ltd.,"['NIFTY500', 'NIFTY_CHEMICALS']"
PINELABS,NSE,Pine Labs Ltd.,['NIFTY500']
PIRAMALFIN,NSE,Piramal Finance Ltd.,['NIFTY500']
PKG,NYSE/NASDAQ,Packaging Corporation of America,['S&P 500']
PLD,NYSE/NASDAQ,Prologis,['S&P 500']
PLTR,NYSE/NASDAQ,Palantir Technologies,['S&P 500']
PM,NYSE/NASDAQ,Philip Morris International,['S&P 500']
PNB,NSE,Punjab National Bank,"['NIFTY500', 'NIFTY_BANK']"
PNBHOUSING,NSE,PNB Housing Finance Ltd.,['NIFTY500']
