ScripID,ScripCode,ScripName,OurSectorClassification
532836,GREMAC INFRA,Gremach Infrastructure Equip & Proj Ltd. (BSE code:532836)   ,Construction and Building Materials
532851,INSECTCID   ,Insecticides India Ltd. (BSE code:532851)   ,Agricultural Related
532854,NITIN FIRE  ,Nitin Fire Protection Industries Limited (BSE code:532854)   ,Engineering
532882,OMNITECH    ,Omnitech Infosolutions Limited (BSE code:532882)   ,IT
532888,ASIAN GRANIT,Asian Granito India Ltd (BSE code:532888)   ,Construction and Building Materials
532892,MOTILALOFS  ,Motilal Oswal Financial Services Limited (BSE code:532892)   ,Financial Services
532899,KAVERI SEED ,Kaveri Seed Company Limited (BSE code:532899)   ,Agricultural Related
532903,DHANUSTECH  ,Dhanus Technologies Ltd. (BSE code:532903)   ,IT
532912,NET 4 INDIA ,Net 4 India Ltd (BSE code:532912)   ,IT
532913,CIRCUIT SYS ,Circuit Systems (India) Limited (BSE code:532913)   ,Engineering
532918,RATHI BARS  ,Rathi Bars Limited (BSE code:532918)   ,Steel
532921,MUNDRA PORT ,Mundra Port And Special Eco Zone Ltd. (BSE code:532921)   ,Infrastructure Facilities
532930,BGR ENERGY  ,BGR Energy Systems Limited (BSE code:532930)   ,Power
531715,SHUKUN CONS.,SHUKUN CONSTRUCTIO INR10 (BSE code:531715)   ,Construction and Building Materials
